v-sweep,v(Vout)
0.00000000e+00,1.79999999e+00
1.00000000e-02,1.79999999e+00
2.00000000e-02,1.79999999e+00
3.00000000e-02,1.79999999e+00
4.00000000e-02,1.79999999e+00
5.00000000e-02,1.79999999e+00
6.00000000e-02,1.79999999e+00
7.00000000e-02,1.79999999e+00
8.00000000e-02,1.79999998e+00
9.00000000e-02,1.79999998e+00
1.00000000e-01,1.79999998e+00
1.10000000e-01,1.79999997e+00
1.20000000e-01,1.79999997e+00
1.30000000e-01,1.79999996e+00
1.40000000e-01,1.79999995e+00
1.50000000e-01,1.79999994e+00
1.60000000e-01,1.79999992e+00
1.70000000e-01,1.79999990e+00
1.80000000e-01,1.79999987e+00
1.90000000e-01,1.79999984e+00
2.00000000e-01,1.79999979e+00
2.10000000e-01,1.79999973e+00
2.20000000e-01,1.79999966e+00
2.30000000e-01,1.79999956e+00
2.40000000e-01,1.79999943e+00
2.50000000e-01,1.79999927e+00
2.60000000e-01,1.79999906e+00
2.70000000e-01,1.79999878e+00
2.80000000e-01,1.79999843e+00
2.90000000e-01,1.79999798e+00
3.00000000e-01,1.79999739e+00
3.10000000e-01,1.79999663e+00
3.20000000e-01,1.79999564e+00
3.30000000e-01,1.79999438e+00
3.40000000e-01,1.79999273e+00
3.50000000e-01,1.79999061e+00
3.60000000e-01,1.79998788e+00
3.70000000e-01,1.79998434e+00
3.80000000e-01,1.79997976e+00
3.90000000e-01,1.79997386e+00
4.00000000e-01,1.79996623e+00
4.10000000e-01,1.79995639e+00
4.20000000e-01,1.79994368e+00
4.30000000e-01,1.79992728e+00
4.40000000e-01,1.79990613e+00
4.50000000e-01,1.79987888e+00
4.60000000e-01,1.79984378e+00
4.70000000e-01,1.79979859e+00
4.80000000e-01,1.79974049e+00
4.90000000e-01,1.79966585e+00
5.00000000e-01,1.79957008e+00
5.10000000e-01,1.79944735e+00
5.20000000e-01,1.79929031e+00
5.30000000e-01,1.79908970e+00
5.40000000e-01,1.79883391e+00
5.50000000e-01,1.79850844e+00
5.60000000e-01,1.79809525e+00
5.70000000e-01,1.79757199e+00
5.80000000e-01,1.79691117e+00
5.90000000e-01,1.79607904e+00
6.00000000e-01,1.79503447e+00
6.10000000e-01,1.79372757e+00
6.20000000e-01,1.79210180e+00
6.30000000e-01,1.79007693e+00
6.40000000e-01,1.78757066e+00
6.50000000e-01,1.78447952e+00
6.60000000e-01,1.78068012e+00
6.70000000e-01,1.77602501e+00
6.80000000e-01,1.77033720e+00
6.90000000e-01,1.76340235e+00
7.00000000e-01,1.75495129e+00
7.10000000e-01,1.74466216e+00
7.20000000e-01,1.73210204e+00
7.30000000e-01,1.71669227e+00
7.40000000e-01,1.69760589e+00
7.50000000e-01,1.67356419e+00
7.60000000e-01,1.64235577e+00
7.70000000e-01,1.59943314e+00
7.80000000e-01,1.53341168e+00
7.90000000e-01,1.42714812e+00
8.00000000e-01,1.29842092e+00
8.10000000e-01,1.16539955e+00
8.20000000e-01,1.03269451e+00
8.30000000e-01,9.02063175e-01
8.40000000e-01,7.74410475e-01
8.50000000e-01,6.50319317e-01
8.60000000e-01,5.30351340e-01
8.70000000e-01,4.15411422e-01
8.80000000e-01,3.07597755e-01
8.90000000e-01,2.12970134e-01
9.00000000e-01,1.46167802e-01
9.10000000e-01,1.10479963e-01
9.20000000e-01,8.98065531e-02
9.30000000e-01,7.56466560e-02
9.40000000e-01,6.49917901e-02
9.50000000e-01,5.65381735e-02
9.60000000e-01,4.96041811e-02
9.70000000e-01,4.37858103e-02
9.80000000e-01,3.88222097e-02
9.90000000e-01,3.45343984e-02
1.00000000e+00,3.07939070e-02
1.01000000e+00,2.75052763e-02
1.02000000e+00,2.45956138e-02
1.03000000e+00,2.20080057e-02
1.04000000e+00,1.96971954e-02
1.05000000e+00,1.76266294e-02
1.06000000e+00,1.57663835e-02
1.07000000e+00,1.40916677e-02
1.08000000e+00,1.25817243e-02
1.09000000e+00,1.12189993e-02
1.10000000e+00,9.98850995e-03
1.11000000e+00,8.87735327e-03
1.12000000e+00,7.87432030e-03
1.13000000e+00,6.96958917e-03
1.14000000e+00,6.15447768e-03
1.15000000e+00,5.42124454e-03
1.16000000e+00,4.76292652e-03
1.17000000e+00,4.17320609e-03
1.18000000e+00,3.64630372e-03
1.19000000e+00,3.17689101e-03
1.20000000e+00,2.76002142e-03
1.21000000e+00,2.39107647e-03
1.22000000e+00,2.06572521e-03
1.23000000e+00,1.77989530e-03
1.24000000e+00,1.52975384e-03
1.25000000e+00,1.31169616e-03
1.26000000e+00,1.12234083e-03
1.27000000e+00,9.58528776e-04
1.28000000e+00,8.17324842e-04
1.29000000e+00,6.96019931e-04
1.30000000e+00,5.92132317e-04
1.31000000e+00,5.03406953e-04
1.32000000e+00,4.27812061e-04
1.33000000e+00,3.63532655e-04
1.34000000e+00,3.08961067e-04
1.35000000e+00,2.62684819e-04
1.36000000e+00,2.23472419e-04
1.37000000e+00,1.90257740e-04
1.38000000e+00,1.62123696e-04
1.39000000e+00,1.38285829e-04
1.40000000e+00,1.18076370e-04
1.41000000e+00,1.00929168e-04
1.42000000e+00,8.63657778e-05
1.43000000e+00,7.39828738e-05
1.44000000e+00,6.34410551e-05
1.45000000e+00,5.44550290e-05
1.46000000e+00,4.67851078e-05
1.47000000e+00,4.02299174e-05
1.48000000e+00,3.46201971e-05
1.49000000e+00,2.98135612e-05
1.50000000e+00,2.56900980e-05
1.51000000e+00,2.21486857e-05
1.52000000e+00,1.91039193e-05
1.53000000e+00,1.64835493e-05
1.54000000e+00,1.42263525e-05
1.55000000e+00,1.22803598e-05
1.56000000e+00,1.06013822e-05
1.57000000e+00,9.15178369e-06
1.58000000e+00,7.89945806e-06
1.59000000e+00,6.81697444e-06
1.60000000e+00,5.88086284e-06
1.61000000e+00,5.07101513e-06
1.62000000e+00,4.37018198e-06
1.63000000e+00,3.76354928e-06
1.64000000e+00,3.23838082e-06
1.65000000e+00,2.78371611e-06
1.66000000e+00,2.39011421e-06
1.67000000e+00,2.04943611e-06
1.68000000e+00,1.75465952e-06
1.69000000e+00,1.49972071e-06
1.70000000e+00,1.27937937e-06
1.71000000e+00,1.08910275e-06
1.72000000e+00,9.24966223e-07
1.73000000e+00,7.83567863e-07
1.74000000e+00,6.61954872e-07
1.75000000e+00,5.57560329e-07
1.76000000e+00,4.68148776e-07
1.77000000e+00,3.91769562e-07
1.78000000e+00,3.26716869e-07
1.79000000e+00,2.71495771e-07
1.80000000e+00,2.24793527e-07
